"a","b","c","d","e","f","g","h"
"20427520","20427775","VN","Viet Nam","Bac Giang","Bac Giang","21.26667","106.2"
"20427776","20428031","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20428032","20428543","VN","Viet Nam","Ba Ria - Vung Tau","Xuyen Moc","10.5667","107.417"
"20428544","20428799","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20428800","20429567","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20429568","20429823","VN","Viet Nam","Lang Son","Lang Son","21.83333","106.73333"
"20429824","20430847","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20430848","20431871","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20431872","20432127","VN","Viet Nam","Da Nang","Da Nang","16.06778","108.22083"
"20432128","20432895","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20432896","20433151","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20433152","20433407","VN","Viet Nam","Bac Ninh","Bac Ninh","21.18333","106.05"
"20433408","20433663","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20433664","20433919","VN","Viet Nam","Bac Ninh","Bac Ninh","21.18333","106.05"
"20433920","20434687","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20434688","20434943","VN","Viet Nam","Quang Ninh","Cam Pha Mines","21.01667","107.3"
"20434944","20436479","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20436480","20436735","VN","Viet Nam","Lang Son","Lang Son","21.83333","106.73333"
"20436736","20437247","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20437248","20437503","VN","Viet Nam","Thai Binh","Thai Binh","20.45","106.33333"
"20437504","20437759","VN","Viet Nam","Thai Nguyen","Thai Nguyen","21.59278","105.84417"
"20437760","20438271","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20438272","20438527","VN","Viet Nam","Hai Duong","Hai Duong","20.93333","106.31667"
"20438528","20438783","VN","Viet Nam","Son La","Son La","21.31667","103.9"
"20438784","20439295","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20439296","20439551","VN","Viet Nam","Ha Tinh","Ha Tinh","18.33333","105.9"
"20439552","20439807","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20439808","20440063","VN","Viet Nam","Ho Chi Minh","Ho Chi Minh City","10.75","106.66667"
"20440064","20440319","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20440320","20440575","VN","Viet Nam","Nam Dinh","Nam Dinh","20.41667","106.16667"
"20440576","20441087","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20441088","20441343","VN","Viet Nam","Hai Duong","Hai Duong","20.93333","106.31667"
"20441344","20441599","VN","Viet Nam","Nghe An","Vinh","18.66667","105.66667"
"20441600","20441855","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20441856","20442111","VN","Viet Nam","Lao Cai","Lao Cai","22.48333","103.95"
"20442112","20442367","VN","Viet Nam","Bac Ninh","Bac Ninh","21.18333","106.05"
"20442368","20442623","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
"20442624","20442879","VN","Viet Nam","Lao Cai","Lao Cai","22.48333","103.95"
"20442880","20447231","VN","Viet Nam","Ha Noi","Hanoi","21.0245","105.84117"
